Datetime,Date,Hour,DayOfWeekNum,DayName,MonthNum,MonthName,Week,IsWeekend,Season,Temperature,Humidity,WindSpeed,GeneralDiffuseFlows,DiffuseFlows,Zone,PowerConsumption_kWh
2017-01-01 00:00:00,2017-01-01,0,7,Sunday,1,January,52,True,Winter,6.559,73.8,0.083,0.051,0.119,Zone1,34055.6962
2017-01-01 00:10:00,2017-01-01,0,7,Sunday,1,January,52,True,Winter,6.414,74.5,0.083,0.07,0.085,Zone1,29814.68354
2017-01-01 00:20:00,2017-01-01,0,7,Sunday,1,January,52,True,Winter,6.313,74.5,0.08,0.062,0.1,Zone1,29128.10127
2017-01-01 00:30:00,2017-01-01,0,7,Sunday,1,January,52,True,Winter,6.121,75.0,0.083,0.091,0.096,Zone1,28228.86076
2017-01-01 00:40:00,2017-01-01,0,7,Sunday,1,January,52,True,Winter,5.921,75.7,0.081,0.048,0.085,Zone1,27335.6962
2017-01-01 00:50:00,2017-01-01,0,7,Sunday,1,January,52,True,Winter,5.853,76.9,0.081,0.059,0.108,Zone1,26624.81013
2017-01-01 01:00:00,2017-01-01,1,7,Sunday,1,January,52,True,Winter,5.641,77.7,0.08,0.048,0.096,Zone1,25998.98734
2017-01-01 01:10:00,2017-01-01,1,7,Sunday,1,January,52,True,Winter,5.496,78.2,0.085,0.055,0.093,Zone1,25446.07595
2017-01-01 01:20:00,2017-01-01,1,7,Sunday,1,January,52,True,Winter,5.678,78.1,0.081,0.066,0.141,Zone1,24777.72152
2017-01-01 01:30:00,2017-01-01,1,7,Sunday,1,January,52,True,Winter,5.491,77.3,0.082,0.062,0.111,Zone1,24279.49367
2017-01-01 01:40:00,2017-01-01,1,7,Sunday,1,January,52,True,Winter,5.516,77.5,0.081,0.051,0.108,Zone1,23896.70886
2017-01-01 01:50:00,2017-01-01,1,7,Sunday,1,January,52,True,Winter,5.471,76.7,0.083,0.059,0.126,Zone1,23544.3038
2017-01-01 02:00:00,2017-01-01,2,7,Sunday,1,January,52,True,Winter,5.059,78.6,0.081,0.07,0.096,Zone1,23003.5443
2017-01-01 02:10:00,2017-01-01,2,7,Sunday,1,January,52,True,Winter,4.968,78.8,0.084,0.07,0.134,Zone1,22329.11392
2017-01-01 02:20:00,2017-01-01,2,7,Sunday,1,January,52,True,Winter,4.975,78.9,0.083,0.055,0.152,Zone1,22092.1519
2017-01-01 02:30:00,2017-01-01,2,7,Sunday,1,January,52,True,Winter,4.897,79.1,0.083,0.07,0.096,Zone1,21903.79747
2017-01-01 02:40:00,2017-01-01,2,7,Sunday,1,January,52,True,Winter,5.02,79.7,0.081,0.051,0.134,Zone1,21685.06329
2017-01-01 02:50:00,2017-01-01,2,7,Sunday,1,January,52,True,Winter,5.407,78.5,0.082,0.062,0.163,Zone1,21484.55696
2017-01-01 03:00:00,2017-01-01,3,7,Sunday,1,January,52,True,Winter,5.169,77.9,0.083,0.066,0.108,Zone1,21107.8481
2017-01-01 03:10:00,2017-01-01,3,7,Sunday,1,January,52,True,Winter,5.081,77.7,0.084,0.051,0.13,Zone1,20998.48101
2017-01-01 03:20:00,2017-01-01,3,7,Sunday,1,January,52,True,Winter,5.041,77.2,0.081,0.062,0.152,Zone1,20870.88608
2017-01-01 03:30:00,2017-01-01,3,7,Sunday,1,January,52,True,Winter,5.034,76.9,0.083,0.051,0.185,Zone1,20870.88608
2017-01-01 03:40:00,2017-01-01,3,7,Sunday,1,January,52,True,Winter,4.896,76.6,0.085,0.07,0.137,Zone1,20597.46835
2017-01-01 03:50:00,2017-01-01,3,7,Sunday,1,January,52,True,Winter,4.805,76.2,0.081,0.059,0.134,Zone1,20421.26582
2017-01-01 04:00:00,2017-01-01,4,7,Sunday,1,January,52,True,Winter,4.753,75.7,0.083,0.044,0.134,Zone1,20524.55696
2017-01-01 04:10:00,2017-01-01,4,7,Sunday,1,January,52,True,Winter,4.901,74.4,0.083,0.07,0.122,Zone1,20482.02532
2017-01-01 04:20:00,2017-01-01,4,7,Sunday,1,January,52,True,Winter,5.203,74.1,0.085,0.062,0.096,Zone1,20530.63291
2017-01-01 04:30:00,2017-01-01,4,7,Sunday,1,January,52,True,Winter,5.394,71.9,0.081,0.073,0.1,Zone1,20512.40506
2017-01-01 04:40:00,2017-01-01,4,7,Sunday,1,January,52,True,Winter,5.156,74.0,0.079,0.062,0.148,Zone1,20494.17722
